iter	Passed	Remaining
395	6563	100113396	6579	397	6397	6595	398	6398	6614	399	6399	6631	400	4400	6646	401	4401	6664	402	4402	6682	403	6403	6696	404	6404	6715	405	6405	6732	406	6406	6748	407	6407	6759	408	6408	6777	409	6409	6795	410	6410	6813	411	6411	6828	412	6412	6843	413	6413	6858	414	6414	6872	415	6415	6890	416	6416	6905	417	6417	6920	418	6418	6936	419	6419	6953	420	6420	6969	421	6421	6982	422	6422	7001	423	6423	7018	424	7424	7037	425	7425	7056	426	7426	7074	427	7427	7091	428	7428	7106	429	7429	7119	430	7430	7133	431	7431	7150	432	7432	7167	433	7433	7181	434	7434	7199	435	7435	7216	436	7436	7231	437	7437	7249	438	7438	7267	439	7439	7288	440	7440	7307	441	7441	7325	9248
442	7343	9233
443	7358	9214
444	7372	9195
445	7390	9180
446	7406	9162
447	7424	9148
448	7439	9129
449	7454	9110
450	7469	9093
451	7485	9075
452	7502	9059
453	7518	9042
454	7535	9026
455	7552	9009
456	7568	8992
457	7583	8974
458	7598	8956
459	7613	8937
460	7629	8919
461	7642	8899
462	7659	8883
463	7673	8863
464	7687	8844
465	7700	466	7466	7715	467	7467	7732	468	7468	7745	469	7469	7764	470	7470	7784	8742
471	7799	472	7472	7816	8709
473	7828	474	7474	7845	475	7475	7861	476	7476	7877	477	7477	7896	8623
478	7911	8604
479	7924	8584
480	7941	8568
481	7953	8547
482	7970	8531
483	7988	8517
484	8004	8499
485	8018	8480
486	8032	8461
487	8045	488	8488	8061	8423
489	8077	8406
490	8094	8391
491	8107	492	8492	8121	493	8493	8135	494	8494	8151	495	8495	8168	496	8496	8183	497	8497	8198	498	8498	8214	499	8499	8227	500	8500	8241	501	8247	8182
502	8263	8165
503	8503	8289	504	8504	8307	505	8313	8115
506	8506	8337	507	8507	8355	508	8508	8370	509	8509	8386	510	8510	8405	511	8511	8423	512	8512	8441	513	8513	8460	514	8514	8476	515	8515	8492	516	8516	8509	517	8517	8524	518	8518	8539	519	8519	8556	520	8520	8571	521	8521	8587	522	8522	8603	523	8523	8615	524	8524	8632	525	8525	8648	526	8526	8660	527	8527	8675	528	8681	7730
529	8698	7713
530	8715	7697
531	8730	7680
532	8746	7663
533	8765	7648
534	8779	7630
535	8797	7615
536	8815	7600
537	8833	7585
538	8851	7570
539	8870	7556
540	8886	7539
541	8900	7521
542	8915	7503
543	8930	7485
544	8950	7472
545	8966	7455
546	8984	7440
547	8999	7422
548	9011	7402
549	9026	7385
550	9039	7366
551	9053	7347
552	9068	7330
553	9085	7314
554	9103	7299
555	9121	7284
556	9137	7267
557	9155	7251
558	9175	7238
559	9196	7225
560	9213	7210
561	9230	7193
562	9251	7180
563	9266	7163
564	9283	7147
565	9298	7130
566	9313	7112
567	9327	7094
568	9344	7078
569	9360	7061
570	9376	7044
571	9393	7028
572	9410	7012
573	9426	6996
574	9442	6979
575	9458	6962
576	9473	6945
577	9490	6929
578	9506	6912
579	9519	6893
580	9534	6875
581	9552	6860
582	9582	9579	583	9583	9595	584	9584	9611	585	9585	9627	586	9586	9640	587	9587	9652	588	9588	9666	589	9672	6721
590	9687	6704
591	9705	6688
592	9719	6670
593	9593	9744	594	9748	6635
595	9595	9774	596	9596	9790	597	9597	9806	598	9598	9822	599	9829	6553
600	9844	6535
601	9858	6517
602	9602	9885	603	9603	9900	604	9604	9917	605	9922	6451
606	9606	9948	607	9607	9964	608	9608	9984	609	9991	6388
610	1610	10018	611	1611	10036	612	1612	10051	613	1613	10069	614	1614	10084	615	10091	6290
616	10107	6274
617	1617	10134	618	10138	6240
619	10158	6225
620	10172	6208
621	10190	6192
622	10205	6175
623	10224	6160
624	10241	6145
625	10258	6128
626	10270	6110
627	10288	6094
628	10304	6078
629	10321	6061
630	10336	6044
631	10351	6027
632	10366	6010
633	10382	5993
634	10398	5977
635	10417	5962
636	10438	5948
637	10452	5930
638	10464	5911
639	10481	5895
640	10496	5878
641	10511	5861
642	10527	5844
643	10543	5828
644	10557	5810
645	10571	5793
646	10587	5776
647	10602	5759
648	10618	5742
649	10635	5726
650	10652	5710
651	10668	5693
652	10685	5678
653	10700	5661
654	10717	5645
655	10733	5628
656	10749	5612
657	10765	5595
658	10778	5577
659	10795	5561
660	10809	5543
661	10828	5528
662	10843	5511
663	10862	5496
664	10876	5479
665	10893	5463
666	10912	5447
667	10928	5431
668	10943	5414
669	10961	5398
670	10976	5381
671	10991	5364
672	11004	5346
673	11021	5330
674	11037	5314
675	11054	5298
676	11070	5281
677	11087	5265
678	11103	5249
679	11122	5233
680	11135	5216
681	11153	5200
682	11169	5184
683	11187	5168
684	11201	5151
685	11219	5135
686	11237	5119
687	11252	5102
688	11270	5087
689	11285	5070
690	11300	5053
691	11317	5037
692	11339	5023
693	11352	5005
694	11369	4989
695	11385	4972
696	11399	4955
697	11417	4939
698	11433	4923
699	11448	4906
700	11464	4890
701	11478	4872
702	11493	4855
703	11504	4837
704	11519	4820
705	11536	4804
706	11552	4787
707	11569	4771
708	11583	4754
709	11604	4739
710	11622	4724
711	11637	4707
712	11652	4690
713	11668	4674
714	11685	4657
715	11699	4640
716	11715	4623
717	11732	4608
718	11749	4591
719	11765	4575
720	11782	4559
721	11798	4543
722	11816	4527
723	11832	4510
724	11848	4494
725	11865	4478
726	1726	11893	727	1727	11914	728	1728	11930	729	1729	11946	730	1730	11961	731	11967	4381
732	11982	4364
733	11997	4347
734	12012	4331
735	12029	4314
736	12043	4297
737	12059	4281
738	1738	12083	739	1739	12100	740	1740	12116	741	12121	4214
742	12136	4197
